type,release_year,runtime,genres,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
SHOW,2015,62,3,1,8.2,152865.0,34.974,7.8
MOVIE,2015,158,3,1,8.0,120110.0,57.23,7.6
SHOW,2016,22,1,1,8.2,17706.0,17.034,7.8
MOVIE,2016,99,3,1,5.3,6.0,44.508,6.1
SHOW,2016,43,6,2,7.3,22565.0,30.342,8.0
SHOW,2015,30,2,1,7.6,71266.0,25.634,7.2
MOVIE,2015,97,2,3,5.3,54305.0,34.866,5.8
MOVIE,2016,105,2,1,7.3,124099.0,31.226,7.2
SHOW,2015,43,4,1,7.5,42177.0,19.743,6.7
MOVIE,2016,99,4,3,5.9,157409.0,47.627,6.145
SHOW,2016,25,3,1,8.1,5650.0,4.476,7.4
MOVIE,2016,130,4,1,8.1,77667.0,162.66,8.409
SHOW,2015,54,7,2,7.9,16505.0,31.857,7.8
SHOW,2015,43,4,1,7.2,10556.0,35.952,7.7
MOVIE,2016,95,6,2,7.1,155678.0,91.033,6.851
MOVIE,2016,82,2,1,6.6,123667.0,20.608,6.7
SHOW,2015,52,4,1,7.3,17240.0,48.448,6.8
MOVIE,2016,90,3,1,6.3,55955.0,16.884,6.439
MOVIE,2016,97,2,1,6.0,90853.0,29.848,5.9
SHOW,2015,29,1,1,7.3,23947.0,9.636,6.4
SHOW,2016,47,3,1,7.1,20979.0,23.849,6.8
SHOW,2015,15,6,1,5.4,1268.0,42.328,5.0
SHOW,2016,32,3,1,7.7,42357.0,26.397,7.3
SHOW,2015,29,1,1,7.3,3266.0,19.089,7.2
SHOW,2015,43,3,1,6.6,24694.0,30.71,6.6
SHOW,2016,30,2,1,7.7,20370.0,8.663,7.3
MOVIE,2015,125,2,2,7.2,168042.0,12.847,6.8
MOVIE,2016,134,3,1,7.3,264195.0,171.724,7.283
SHOW,2016,10,4,1,8.4,7086.0,40.266,8.4
MOVIE,2015,94,5,1,6.6,101975.0,50.179,6.8
MOVIE,2015,120,5,3,6.8,249345.0,117.369,6.8
MOVIE,2016,95,7,1,7.1,14950.0,28.818,7.3
SHOW,2015,24,3,1,5.3,3287.0,50.043,7.2
MOVIE,2016,104,5,1,6.0,18987.0,13.597,6.1
MOVIE,2016,108,6,3,7.4,87806.0,84.977,7.2
SHOW,2016,42,5,1,6.2,22172.0,95.708,7.1
MOVIE,2016,123,1,1,6.9,15146.0,11.1,6.8
SHOW,2015,43,3,1,6.6,60567.0,23.057,6.5
MOVIE,2016,123,2,2,7.0,34326.0,16.664,6.7
SHOW,2016,22,5,1,8.5,44643.0,25.494,8.7
MOVIE,2015,119,3,5,7.1,183579.0,21.369,7.6
SHOW,2015,27,3,1,8.0,36562.0,18.906,7.3
SHOW,2015,32,2,1,8.3,72881.0,11.678,7.6
SHOW,2016,42,4,1,7.6,7696.0,6.942,7.2
SHOW,2016,30,2,1,6.9,13620.0,23.522,6.2
SHOW,2015,45,3,1,7.6,9044.0,12.526,7.4
MOVIE,2016,84,5,4,6.8,27337.0,9.878,6.5
SHOW,2016,46,4,1,7.3,25452.0,29.033,7.2
SHOW,2016,30,3,1,7.4,38420.0,25.365,7.5
MOVIE,2015,101,2,1,6.4,93675.0,26.748,6.8
SHOW,2016,59,3,1,7.6,10782.0,15.882,7.7
MOVIE,2015,82,3,1,5.5,73854.0,26.429,5.5
MOVIE,2016,90,2,1,7.0,8239.0,10.868,7.1
MOVIE,2015,118,4,1,6.5,98837.0,24.941,6.407
SHOW,2015,62,2,1,8.6,94419.0,8.723,7.9
MOVIE,2016,97,2,1,7.3,72083.0,14.985,7.326
MOVIE,2015,95,3,1,6.6,21105.0,13.528,6.4
MOVIE,2016,109,3,1,6.3,59040.0,30.663,6.43
SHOW,2015,47,1,1,7.7,23.0,0.84,6.829174760787145
MOVIE,2016,97,2,1,6.8,11418.0,5.903,6.4
SHOW,2016,45,3,1,7.6,5920.0,12.755,7.2
MOVIE,2015,87,5,1,6.0,52925.0,14.711,6.0
SHOW,2016,27,2,1,6.7,27445.0,25.211,7.6
SHOW,2016,50,2,1,7.4,8086.0,12.012,6.6
SHOW,2015,24,5,1,7.9,1660.0,9.168,7.1
MOVIE,2016,76,5,1,6.4,56275.0,25.747,6.615
SHOW,2015,50,1,1,8.5,15352.0,10.447,7.9
MOVIE,2015,99,5,2,6.3,20376.0,10.541,6.1
MOVIE,2015,96,3,2,6.1,89912.0,20.733,6.1
SHOW,2015,49,4,1,8.2,21862.0,156.976,8.0
SHOW,2016,24,2,1,6.8,3285.0,12.075,7.0
MOVIE,2016,100,3,1,8.2,35302.0,8.675,8.0
SHOW,2015,43,4,1,7.0,12279.0,13.111,6.8
SHOW,2016,18,4,1,7.4,13723.0,12.16,7.3
MOVIE,2016,97,4,1,6.2,46334.0,99.185,6.4
MOVIE,2016,81,2,1,7.2,17346.0,7.83,7.0
SHOW,2016,42,1,1,7.3,5227.0,18.424,7.4
MOVIE,2015,92,3,1,6.2,5378.0,6.297,6.0
MOVIE,2016,107,1,3,7.2,8693.0,9.998,7.0
SHOW,2016,92,2,1,7.6,37577.0,14.808,7.6
MOVIE,2016,97,2,1,6.7,99712.0,25.409,7.3
SHOW,2016,59,2,1,8.4,6897.0,14.88,7.3
MOVIE,2015,137,2,2,7.7,80750.0,10.424,7.6
MOVIE,2016,88,3,1,6.3,39108.0,20.157,6.1
MOVIE,2016,95,5,1,4.8,42561.0,33.204,5.2
SHOW,2016,44,4,1,7.0,7742.0,21.454,6.9
SHOW,2015,92,4,1,9.2,6718.0,18.37,8.7
MOVIE,2015,101,2,1,7.6,13872.0,6.186,7.5
SHOW,2016,51,4,2,7.1,3802.0,13.651,7.1
SHOW,2016,62,2,1,8.2,22462.0,7.479,7.348
MOVIE,2016,96,4,1,4.3,23960.0,28.381,5.2
SHOW,2016,22,7,1,8.4,16779.0,50.896,8.5
MOVIE,2015,105,3,2,7.0,54977.0,38.051,7.0
SHOW,2016,24,7,1,8.1,8821.0,16.452,7.4
SHOW,2016,30,1,1,7.4,3369.0,2.7,7.9
SHOW,2016,23,7,1,7.6,6199.0,17.293,8.2
SHOW,2015,21,4,1,6.0,1066.0,11.302,7.6
MOVIE,2016,121,4,2,6.4,52698.0,23.219,7.1
MOVIE,2015,83,2,2,5.3,14882.0,8.722,5.3
MOVIE,2015,98,1,3,8.3,18748.0,7.755,8.0
MOVIE,2016,89,1,1,5.8,7430.0,8.794,5.4
MOVIE,2016,108,6,2,7.2,39404.0,11.351,7.2
MOVIE,2016,118,3,1,8.5,10548.0,4.442,8.0
SHOW,2016,30,2,1,7.3,3693.0,6.236,7.4
MOVIE,2015,122,3,3,5.3,20541.0,10.203,5.6
MOVIE,2016,87,3,1,6.510860655737705,23439.382473841553,145.287,7.0
MOVIE,2016,91,4,1,7.3,6572.0,6.08,7.1
SHOW,2016,71,5,1,8.5,6659.0,9.477,8.1
SHOW,2016,44,4,1,6.6,8585.0,7.738,6.6
MOVIE,2015,119,3,1,4.8,47935.0,40.711,5.152
MOVIE,2016,60,3,1,8.4,14356.0,8.245,8.2
SHOW,2016,54,4,1,8.1,4047.0,94.391,8.2
SHOW,2015,27,2,1,7.7,3574.0,9.227,7.5
MOVIE,2016,108,2,1,5.7,46260.0,11.466,5.672
MOVIE,2015,106,2,2,6.9,41983.0,12.013,7.3
MOVIE,2016,117,3,1,6.3,14824.0,19.074,6.5
SHOW,2016,33,3,1,7.2,11474.0,8.853,6.9
MOVIE,2015,118,6,1,4.1,7867.0,9.666,5.5
SHOW,2015,12,8,1,7.2,587.0,6.326,7.6
MOVIE,2016,89,5,1,5.9,8644.0,5.226,5.4
MOVIE,2015,84,1,1,6.1,17557.0,37.12,5.914
MOVIE,2016,118,3,2,7.5,11876.0,8.804,7.3
MOVIE,2016,103,3,1,6.1,19500.0,21.103,6.1
SHOW,2016,48,1,1,6.9,1667.0,3.977,6.9
MOVIE,2016,89,2,1,6.3,12737.0,8.406,6.1
SHOW,2016,61,4,1,7.4,3943.0,34.735,7.3
MOVIE,2016,89,3,2,4.6,14580.0,9.719,4.4
MOVIE,2016,90,3,1,6.1,8064.0,10.884,6.2
MOVIE,2015,116,2,1,6.3,278.0,1.899,8.1
SHOW,2015,45,3,1,7.6,1649.0,3.412,6.8
MOVIE,2016,88,3,1,5.7,10646.0,17.731,5.7
SHOW,2016,25,7,1,8.3,83.0,40.65,10.0
MOVIE,2016,88,4,1,5.9,6083.0,10.404,5.6
MOVIE,2015,130,3,1,6.510860655737705,23439.382473841553,0.6,6.0
SHOW,2015,3,2,1,6.7,97.0,2.06,6.829174760787145
SHOW,2015,23,4,1,6.7,465.0,8.914,7.4
SHOW,2016,50,1,1,6.9,2177.0,5.174,6.1
MOVIE,2016,104,1,1,5.9,7212.0,5.957,5.8
MOVIE,2016,96,3,1,6.3,20005.0,8.871,6.135
SHOW,2015,23,4,1,5.8,723.0,27.252,7.7
SHOW,2015,23,6,1,6.6,1726.0,22.766,6.9
SHOW,2016,7,4,1,7.1,599.0,23.688,8.3
MOVIE,2015,106,2,1,7.4,4275.0,7.65,7.5
MOVIE,2016,87,3,1,6.4,1059.0,3.39,6.4
SHOW,2015,29,2,1,8.1,1663.0,5.125,8.1
MOVIE,2016,105,2,1,5.7,3998.0,21.008,5.6
SHOW,2015,46,2,1,8.2,5586.0,25.34,8.4
SHOW,2016,21,3,1,7.1,2077.0,11.589,8.0
MOVIE,2016,94,6,2,5.5,10919.0,22.825,5.8
SHOW,2016,43,4,1,7.2,5024.0,6.442,6.7
MOVIE,2016,92,2,1,4.5,16090.0,14.347,4.8
SHOW,2016,27,1,1,7.1,2677.0,4.763,7.3
SHOW,2016,65,5,1,7.8,6194.0,27.411,7.4
MOVIE,2015,28,3,1,7.8,10742.0,6.475,7.3
SHOW,2016,33,1,1,5.2,861.0,4.376,5.2
SHOW,2015,35,1,1,7.4,4160.0,4.117,6.8
SHOW,2015,23,5,1,5.6,442.0,5.557,7.4
SHOW,2015,25,3,1,5.9,9172.0,13.581,5.7
SHOW,2016,45,2,1,7.9,2585.0,27.228,6.1
SHOW,2015,11,4,1,8.6,919.0,3.171,8.0
SHOW,2015,22,1,1,6.8,83.0,3.153,9.2
MOVIE,2016,82,4,1,6.5,5605.0,8.491,6.1
SHOW,2015,22,7,1,8.2,6376.0,52.569,8.2
MOVIE,2015,22,5,1,6.1,862.0,16.252,6.5
MOVIE,2016,107,3,1,5.5,21929.0,17.087,5.8
SHOW,2015,46,3,1,7.0,2755.0,3.389,7.3
SHOW,2015,51,3,1,7.4,2784.0,6.577,7.8
MOVIE,2016,100,1,3,5.8,24129.0,10.794,5.7
SHOW,2016,0,2,1,8.4,649.0,23.759,7.7
MOVIE,2016,133,3,1,5.3,8994.0,16.534,6.4
SHOW,2016,25,1,1,8.4,4149.0,11.357,7.7
MOVIE,2016,111,3,1,6.7,20208.0,7.195,6.8
SHOW,2016,48,2,1,7.1,2747.0,5.099,7.5
SHOW,2015,43,3,1,6.2,379.0,2.421,5.8
MOVIE,2016,70,1,1,7.6,1555.0,2.92,7.7
SHOW,2015,22,4,1,7.8,667.0,13.096,7.8
SHOW,2016,45,5,1,6.1,340.0,293.969,7.4
MOVIE,2016,92,3,2,6.9,24488.0,8.847,6.7
MOVIE,2016,100,3,1,6.510860655737705,23439.382473841553,24.331,6.6
SHOW,2015,23,3,1,4.9,2255.0,12.273,7.9
MOVIE,2015,105,2,1,5.4,7140.0,6.672,5.0
MOVIE,2016,63,1,1,7.4,1100.0,2.615,7.8
SHOW,2016,70,1,1,7.3,2476.0,3.273,6.5
MOVIE,2016,120,3,1,5.6,3576.0,22.159,6.3
SHOW,2015,3,4,1,8.3,367.0,9.07,8.0
SHOW,2016,26,3,1,8.4,878.0,7.471,8.4
SHOW,2015,23,4,3,7.1,242.0,8.606,6.829174760787145
MOVIE,2016,93,4,1,5.5,8030.0,16.084,5.9
MOVIE,2016,105,1,2,7.6,4349.0,8.63,7.5
MOVIE,2015,62,2,1,7.9,8595.0,4.784,7.8
MOVIE,2016,19,2,1,5.2,13090.0,14.911,5.4
MOVIE,2016,102,5,1,6.4,16513.0,15.381,6.2
SHOW,2016,53,1,1,7.6,43.0,3.188,7.5
MOVIE,2016,23,3,1,6.510860655737705,23439.382473841553,34.3,6.8
SHOW,2016,24,6,2,6.6,727.0,6.824,8.2
SHOW,2015,22,5,2,4.5,625.0,10.856,6.9
MOVIE,2015,59,1,1,6.510860655737705,23439.382473841553,4.566,7.4
MOVIE,2016,24,3,1,6.510860655737705,23439.382473841553,20.853,5.7
SHOW,2016,21,5,1,5.8,331.0,13.218,6.5
SHOW,2015,31,1,1,6.3,2857.0,6.43,6.2
SHOW,2016,48,2,2,7.4,1544.0,5.247,6.9
MOVIE,2016,108,5,3,5.4,5098.0,15.133,6.7
SHOW,2016,15,4,1,7.6,524.0,6.682,6.6
MOVIE,2015,95,1,1,7.4,2691.0,5.984,7.2
SHOW,2016,20,4,1,5.4,177.0,7.108,7.3
SHOW,2016,107,1,1,6.5,1221.0,15.226,5.7
SHOW,2016,47,4,1,7.1,5137.0,7.687,6.3
MOVIE,2015,163,3,1,8.2,80320.0,9.208,7.9
MOVIE,2015,100,3,1,6.0,69.0,1.191,5.3
SHOW,2016,23,5,1,6.5,760.0,14.848,6.1
MOVIE,2016,96,1,1,6.0,1468.0,11.071,6.5
SHOW,2015,28,1,1,8.3,1916.0,3.565,7.9
MOVIE,2016,92,2,2,5.3,7138.0,11.319,5.7
MOVIE,2016,60,1,1,7.5,6988.0,6.367,7.3
MOVIE,2015,120,4,1,6.5,7839.0,9.363,6.7
MOVIE,2015,110,3,1,7.9,38.0,8.065,5.7
MOVIE,2015,56,2,1,5.5,15455.0,9.185,5.3
MOVIE,2016,105,3,2,7.4,9821.0,9.632,7.763
SHOW,2016,24,5,1,7.2,1290.0,6.887,6.7
MOVIE,2016,95,2,1,7.2,6602.0,5.6,7.2
SHOW,2016,45,2,1,8.4,5772.0,4.48,7.8
SHOW,2016,46,1,1,8.2,1734.0,4.096,8.6
SHOW,2015,25,1,1,5.8,1026.0,5.445,8.1
MOVIE,2016,112,2,1,6.6,379.0,2.434,7.3
MOVIE,2016,136,3,1,6.6,7416.0,27.496,7.5
SHOW,2016,16,3,1,7.1,446.0,5.677,8.4
MOVIE,2015,82,2,1,7.1,3383.0,5.383,6.7
MOVIE,2016,87,2,1,6.5,718.0,2.138,6.1
MOVIE,2016,62,1,1,6.9,1001.0,2.917,6.3
SHOW,2015,44,3,1,7.8,1060.0,3.459,7.3
MOVIE,2015,157,3,1,5.5,1942.0,3.027,6.0
SHOW,2016,12,4,1,6.6,80.0,12.713,10.0
MOVIE,2015,88,1,1,5.1,3369.0,12.429,5.8
SHOW,2016,5,3,1,7.0,129.0,3.507,9.5
SHOW,2015,23,1,1,3.0,1073.0,9.491,6.5
MOVIE,2016,96,2,1,5.9,9501.0,10.176,6.5
MOVIE,2016,68,2,1,5.6,921.0,3.528,6.7
SHOW,2016,42,2,1,6.8,5163.0,8.888,6.6
MOVIE,2015,119,4,1,7.0,6611.0,9.614,6.9
MOVIE,2016,90,5,1,6.0,2662.0,7.809,5.9
MOVIE,2016,134,3,1,7.4,14380.0,6.61,7.1
MOVIE,2016,108,4,1,6.3,6023.0,7.299,6.4
SHOW,2016,69,5,1,7.8,1866.0,17.289,8.2
MOVIE,2015,84,2,1,5.6,12441.0,7.652,5.4
SHOW,2016,22,2,1,8.0,3128.0,7.93,7.1
SHOW,2015,35,3,1,8.1,12.0,2.736,7.5
MOVIE,2015,30,3,1,6.8,1400.0,8.513,6.6
MOVIE,2015,115,4,1,6.2,2336.0,4.579,5.9
MOVIE,2015,139,2,1,7.4,5877.0,4.318,6.8
MOVIE,2016,98,3,1,5.9,22891.0,16.152,5.8
SHOW,2015,24,7,1,5.7,194.0,8.908,8.8
MOVIE,2016,129,1,1,6.4,583.0,2.513,6.0
SHOW,2016,70,2,1,8.2,366.0,4.766,8.0
MOVIE,2016,95,1,1,6.0,1499.0,9.634,5.9
SHOW,2016,26,3,1,8.2,1127.0,5.877,8.2
MOVIE,2016,110,3,2,6.7,3910.0,10.09,7.0
SHOW,2015,28,2,1,7.6,385.0,1.542,7.0
MOVIE,2016,100,2,1,6.2,417.0,6.053,6.1
SHOW,2015,0,1,1,7.4,33.0,1.347,6.829174760787145
MOVIE,2016,71,1,1,6.510860655737705,23439.382473841553,1.646,6.6
MOVIE,2015,118,5,1,7.3,2132.0,3.448,7.8
MOVIE,2016,86,4,1,5.5,3106.0,5.993,6.0
SHOW,2016,44,2,1,6.9,308.0,112.717,6.829174760787145
MOVIE,2016,155,4,1,5.6,11693.0,8.73,6.5
SHOW,2016,63,3,1,6.8,742.0,4.18,6.8
MOVIE,2015,170,4,1,7.0,17581.0,8.46,6.8
SHOW,2016,63,3,1,8.3,2161.0,14.835,7.3
SHOW,2016,29,4,1,5.9,7274.0,7.102,6.4
MOVIE,2016,105,5,2,5.9,3256.0,8.146,6.0
SHOW,2016,48,3,1,7.5,3161.0,15.259,7.3
SHOW,2015,46,6,1,7.1,324.0,0.6,6.829174760787145
MOVIE,2016,132,4,1,7.1,7800.0,8.67,6.5
MOVIE,2015,130,4,1,7.1,24975.0,7.397,7.2
MOVIE,2015,61,2,1,7.4,2207.0,2.887,7.0
MOVIE,2015,181,2,1,7.7,49.0,0.738,6.8
SHOW,2015,58,4,1,7.7,3663.0,6.213,7.0
MOVIE,2016,77,2,1,6.7,4961.0,6.603,6.3
SHOW,2016,42,1,1,7.2,167.0,1.168,7.9
MOVIE,2015,132,3,1,8.1,34943.0,9.212,7.5
MOVIE,2015,156,4,1,6.4,13003.0,5.554,6.6
MOVIE,2016,87,2,1,7.4,2566.0,3.047,7.2
SHOW,2015,60,2,1,6.7,197.0,2.722,7.2
SHOW,2016,49,3,1,7.4,64.0,3.809,7.6
MOVIE,2015,159,3,1,7.3,15216.0,3.924,7.0
MOVIE,2015,108,2,2,6.2,2772.0,5.794,6.0
SHOW,2016,13,2,1,5.5,352.0,2.382,8.3
MOVIE,2015,83,1,1,6.510860655737705,23439.382473841553,2.349,4.9
MOVIE,2015,130,5,1,8.6,47.0,2.752,7.1
MOVIE,2016,101,1,1,4.9,5290.0,8.68,4.7
MOVIE,2015,83,1,1,4.8,337.0,3.909,4.0
MOVIE,2015,85,3,1,5.8,2995.0,6.451,5.9
SHOW,2015,25,2,3,6.0,57.0,3.292,8.0
MOVIE,2016,110,1,1,5.8,4604.0,14.458,5.8
SHOW,2016,21,2,1,8.7,170.0,0.6,9.0
MOVIE,2016,62,1,1,7.2,4356.0,5.549,6.9
MOVIE,2015,58,1,1,6.6,3266.0,4.73,6.7
MOVIE,2016,100,3,1,6.2,1820.0,5.453,5.8
MOVIE,2015,92,2,1,6.3,1955.0,5.362,6.0
MOVIE,2016,64,1,1,6.5,1528.0,2.747,6.3
MOVIE,2016,90,2,1,7.6,2191.0,3.257,7.6
MOVIE,2016,73,1,1,6.6,1905.0,2.156,6.6
SHOW,2016,47,4,1,6.5,554.0,243.868,7.5
MOVIE,2015,55,1,1,7.1,478.0,2.333,6.9
MOVIE,2016,86,2,1,7.7,5420.0,4.802,7.3
MOVIE,2016,83,3,1,6.6,737.0,2.227,5.9
MOVIE,2016,115,1,1,6.6,4391.0,6.569,6.6
MOVIE,2015,141,3,1,7.0,6262.0,2.332,6.2
MOVIE,2016,127,2,2,6.7,4519.0,4.889,5.9
SHOW,2016,52,1,1,6.0,2072.0,16.004,5.1
MOVIE,2016,140,4,1,7.7,26130.0,8.129,7.0
MOVIE,2016,148,3,1,7.7,30276.0,8.861,7.2
MOVIE,2015,139,3,1,7.3,27331.0,6.88,6.6
SHOW,2015,42,2,1,6.7,649.0,5.022,5.9
MOVIE,2016,106,1,1,4.8,939.0,3.056,4.5
MOVIE,2016,90,1,1,6.5,579.0,1.802,6.1
SHOW,2016,63,5,1,8.2,4326.0,2.184,7.8
MOVIE,2016,86,2,1,4.9,1525.0,3.964,5.3
SHOW,2016,18,4,1,6.3,214.0,11.974,8.0
MOVIE,2016,72,3,1,5.7,896.0,12.341,6.8
SHOW,2016,62,1,1,6.9,297.0,5.348,8.0
SHOW,2016,27,1,1,7.6,892.0,2.503,8.2
MOVIE,2016,67,1,1,6.6,1520.0,4.087,6.4
MOVIE,2015,63,2,1,5.7,701.0,2.405,4.8
SHOW,2016,27,1,1,5.7,446.0,2.719,6.5
MOVIE,2016,123,3,1,6.2,5550.0,5.209,6.6
MOVIE,2016,131,2,1,5.4,4840.0,5.517,5.8
MOVIE,2015,100,3,1,4.3,377.0,1.835,4.2
MOVIE,2016,99,4,1,6.1,4275.0,8.117,5.844
MOVIE,2016,41,2,2,6.510860655737705,23439.382473841553,5.399,7.4
MOVIE,2015,136,5,1,7.6,12593.0,6.24,7.2
MOVIE,2016,112,2,2,7.9,3243.0,3.919,7.6
MOVIE,2016,88,4,1,6.7,4228.0,17.857,7.2
SHOW,2016,10,1,1,6.510860655737705,23439.382473841553,0.903,6.829174760787145
SHOW,2016,21,5,1,6.0,604.0,6.585,7.0
MOVIE,2015,119,3,1,4.6,297.0,2.213,4.8
SHOW,2015,53,2,1,8.4,341.0,4.43,9.2
MOVIE,2016,73,2,1,7.5,3653.0,2.89,7.1
SHOW,2016,53,1,1,7.9,846.0,2.29,7.8
MOVIE,2015,106,2,1,7.9,3893.0,2.918,7.5
MOVIE,2016,97,4,1,5.4,230.0,3.125,6.0
MOVIE,2016,89,1,1,3.7,303.0,4.126,6.5
MOVIE,2016,82,1,1,6.6,1364.0,3.096,6.5
SHOW,2016,44,2,1,7.1,16.0,0.672,6.829174760787145
SHOW,2015,69,3,1,6.3,7.0,2.932,7.8
MOVIE,2016,110,1,1,6.5,90.0,1.147,6.829174760787145
MOVIE,2015,154,2,1,5.4,6424.0,4.913,5.6
SHOW,2016,24,4,1,6.3,266.0,10.522,7.6
MOVIE,2015,114,3,1,5.6,20155.0,3.728,5.2
MOVIE,2016,136,2,1,7.3,12816.0,10.676,6.9
MOVIE,2015,100,3,1,5.4,19.0,2.234,5.1
MOVIE,2016,103,4,1,5.4,2121.0,16.724,5.8
MOVIE,2016,112,2,1,7.6,1503.0,1.495,6.1
SHOW,2016,45,1,1,6.2,357.0,1.849,6.0
MOVIE,2016,82,2,1,4.1,3476.0,7.517,4.2
MOVIE,2016,74,5,1,7.5,525.0,1.239,7.5
MOVIE,2016,92,2,1,5.3,7021.0,16.887,6.0
MOVIE,2016,98,2,1,6.6,1722.0,2.458,6.5
MOVIE,2015,84,4,2,6.510860655737705,23439.382473841553,24.391,5.9
MOVIE,2016,79,1,1,5.4,994.0,9.284,6.0
MOVIE,2016,62,2,1,7.3,919.0,3.186,7.4
MOVIE,2016,100,4,1,6.1,1329.0,11.308,5.8
MOVIE,2016,95,1,2,5.8,275.0,6.235,4.9
MOVIE,2015,144,3,1,3.6,5723.0,3.961,4.9
SHOW,2016,23,3,1,6.8,259.0,3.954,7.4
MOVIE,2016,91,2,1,5.9,726.0,3.352,5.9
SHOW,2016,13,4,2,7.4,122.0,2.376,8.0
SHOW,2016,25,3,1,8.2,6542.0,6.822,7.8
MOVIE,2016,100,3,1,5.4,128.0,1.4,6.2
MOVIE,2016,95,6,1,5.1,2004.0,5.348,4.8
SHOW,2016,45,3,1,7.7,800.0,10.875,7.2
SHOW,2016,36,2,1,7.4,997.0,6.928,7.9
MOVIE,2016,119,2,1,7.7,1678.0,1.728,7.0
MOVIE,2015,90,1,1,4.3,74.0,0.6,6.829174760787145
MOVIE,2016,126,2,2,6.6,1410.0,17.587,6.9
SHOW,2016,28,4,1,7.0,2324.0,5.537,6.2
MOVIE,2016,94,3,1,5.8,649.0,8.11,6.4
SHOW,2016,28,1,1,3.5,500.0,2.452,5.8
MOVIE,2015,12,4,1,6.510860655737705,23439.382473841553,2.371,6.7
MOVIE,2016,94,2,1,5.0,371.0,3.314,5.2
MOVIE,2015,102,2,1,6.1,863.0,2.311,5.4
MOVIE,2015,129,5,1,6.3,2262.0,3.51,7.0
SHOW,2015,47,3,1,7.3,503.0,2.488,6.3
SHOW,2016,29,1,1,6.7,590.0,2.881,7.8
SHOW,2015,43,1,1,8.7,1323.0,3.572,8.8
MOVIE,2015,82,1,1,5.3,1856.0,5.176,5.7
MOVIE,2016,105,3,1,6.4,1039.0,7.811,6.9
MOVIE,2015,101,4,1,6.0,265.0,2.484,5.3
SHOW,2015,5,4,1,7.0,101.0,0.662,8.0
MOVIE,2015,66,2,1,5.7,964.0,9.086,7.1
SHOW,2016,45,1,1,7.3,103.0,22.6379253956843,6.829174760787145
MOVIE,2016,65,2,1,6.7,2001.0,3.337,6.6
MOVIE,2016,116,4,1,6.1,1700.0,4.445,6.8
SHOW,2016,23,1,1,6.7,54.0,7.272,7.7
MOVIE,2016,92,1,1,5.5,117.0,1.481,5.2
MOVIE,2016,120,3,1,7.3,3692.0,4.392,6.9
MOVIE,2016,77,1,1,6.6,2880.0,5.957,6.4
MOVIE,2015,98,2,1,6.6,1472.0,2.265,5.8
MOVIE,2016,98,3,2,6.3,1343.0,3.262,6.2
SHOW,2016,31,3,1,6.8,582.0,3.778,7.2
MOVIE,2016,60,1,1,7.2,2657.0,3.242,6.8
MOVIE,2016,118,2,1,5.6,227.0,2.062,7.2
MOVIE,2016,95,4,2,6.3,382.0,1.352,5.8
MOVIE,2016,108,3,1,7.5,6248.0,8.137,7.5
MOVIE,2015,67,1,1,6.5,691.0,1.929,7.3
MOVIE,2016,63,2,1,7.4,4547.0,3.272,6.7
MOVIE,2016,124,1,1,1.9,4356.0,4.658,3.1
MOVIE,2015,90,5,5,7.2,676.0,2.034,7.1
MOVIE,2016,98,2,1,7.5,940.0,1.134,7.7
MOVIE,2016,88,3,1,5.0,783.0,16.734,5.4
MOVIE,2015,34,1,1,6.510860655737705,23439.382473841553,2.465,6.7
MOVIE,2015,136,6,1,5.9,9281.0,3.083,5.6
SHOW,2016,40,2,1,6.510860655737705,23439.382473841553,0.855,6.829174760787145
MOVIE,2015,97,4,1,3.6,1111.0,1.593,4.3
MOVIE,2016,74,1,1,6.5,1674.0,2.286,6.7
MOVIE,2015,60,1,1,6.7,722.0,1.77,6.2
MOVIE,2016,132,2,1,6.6,766.0,3.331,6.0
MOVIE,2015,65,3,1,6.510860655737705,23439.382473841553,22.6379253956843,6.829174760787145
SHOW,2016,24,3,1,6.3,57.0,1.722,8.0
MOVIE,2016,80,1,1,7.3,304.0,2.632,7.3
MOVIE,2016,106,2,1,5.2,764.0,6.038,5.3
MOVIE,2016,121,4,1,7.5,3310.0,2.982,6.8
MOVIE,2016,98,4,1,4.7,1008.0,2.205,4.5
MOVIE,2015,107,4,2,6.9,1405.0,1.669,6.7
SHOW,2016,42,2,1,7.0,304.0,3.34,8.0
MOVIE,2015,71,1,1,5.7,223.0,1.309,5.7
MOVIE,2016,88,2,1,6.3,1705.0,2.115,6.5
SHOW,2016,13,4,3,5.2,48.0,1.49,7.3
MOVIE,2016,82,5,1,5.5,356.0,2.616,5.4
MOVIE,2015,71,2,1,6.8,2616.0,3.345,6.7
MOVIE,2015,138,3,1,4.6,3157.0,1.508,5.6
SHOW,2015,45,2,1,6.5,195.0,6.79,6.5
MOVIE,2015,60,1,1,4.4,288.0,2.565,5.1
MOVIE,2016,50,3,1,5.1,226.0,2.149,4.3
MOVIE,2015,135,2,1,4.5,1284.0,4.372,6.4
MOVIE,2015,90,3,1,2.8,852.0,3.316,2.8
MOVIE,2016,86,2,2,7.7,280.0,2.143,7.2
MOVIE,2016,65,2,1,5.6,875.0,2.294,6.4
MOVIE,2016,31,1,1,5.7,71.0,1.235,5.7
MOVIE,2015,74,1,1,6.5,1062.0,2.368,5.6
MOVIE,2016,56,1,1,5.2,120.0,1.645,3.7
