type,release_year,runtime,genres,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
MOVIE,2000,103,2,2,8.3,841435.0,25.203,7.8
MOVIE,1999,139,3,1,7.4,207524.0,13.78,7.2
SHOW,1999,23,5,1,8.8,117129.0,143.457,8.764
SHOW,1998,40,4,1,7.8,3362.0,18.075,7.7
MOVIE,1997,194,2,1,7.9,1146825.0,155.683,7.878
SHOW,1998,25,7,1,8.9,115448.0,35.402,8.522
MOVIE,1997,129,3,1,7.3,291452.0,29.5,6.993
MOVIE,2000,123,2,1,6.1,337987.0,29.392,6.1
MOVIE,1994,107,1,1,7.3,379999.0,31.852,6.6
SHOW,1995,24,6,1,8.5,66629.0,49.27,8.637
MOVIE,1997,106,4,1,7.8,300701.0,17.789,7.553
MOVIE,1994,111,5,2,8.5,1137357.0,51.406,8.323
SHOW,2000,46,2,1,8.2,121462.0,58.578,7.827
MOVIE,1994,118,4,1,7.3,11.0,21.933,7.1
MOVIE,1995,107,4,2,6.5,93767.0,13.056,6.5
MOVIE,1998,119,3,1,6.7,211635.0,21.724,6.643
SHOW,1993,22,4,1,6.5,22110.0,19.699,6.8
MOVIE,1999,93,3,1,6.4,215053.0,26.848,6.45
MOVIE,1998,104,4,1,6.1,58670.0,10.108,6.3
SHOW,1998,22,7,1,7.3,21113.0,33.504,7.358
MOVIE,1997,127,3,1,7.7,303868.0,22.225,7.5
SHOW,1994,26,5,2,7.8,9829.0,16.83,7.8
SHOW,1995,22,6,2,7.6,13493.0,63.687,7.9
SHOW,2000,25,7,1,7.9,15823.0,62.355,8.6
MOVIE,1992,123,1,1,7.2,59854.0,19.58,7.1
MOVIE,1999,127,2,2,7.3,183154.0,20.424,7.6
MOVIE,1993,131,4,1,6.4,150498.0,22.196,6.379
SHOW,1994,22,3,1,7.5,7718.0,6.688,8.4
MOVIE,1991,103,5,1,6.9,80590.0,20.545,7.4
MOVIE,1994,191,4,1,6.7,50774.0,14.677,6.751
MOVIE,1996,115,4,2,6.1,110921.0,19.437,6.0
MOVIE,1997,87,5,1,8.0,53152.0,32.569,8.4
MOVIE,1997,94,1,1,5.9,49377.0,12.537,6.1
MOVIE,1993,128,4,1,7.2,102916.0,19.8,6.973
MOVIE,1994,115,3,1,7.3,58178.0,13.683,7.314
MOVIE,1998,131,3,1,6.5,105286.0,24.205,6.5
SHOW,1992,28,2,1,3.8,9624.0,14.641,4.9
MOVIE,1997,89,3,3,4.8,104213.0,34.405,5.1
SHOW,1996,25,2,1,7.8,15620.0,33.544,8.3
MOVIE,2000,118,2,1,6.6,64771.0,30.982,6.6
MOVIE,1997,136,4,1,7.1,142903.0,13.766,7.2
MOVIE,1995,114,4,1,5.9,66667.0,15.935,6.0
MOVIE,1993,112,4,3,6.5,128972.0,27.78,6.5
MOVIE,1993,97,3,1,7.5,58179.0,13.928,7.542
MOVIE,1995,97,4,2,5.6,71563.0,10.75,5.7
MOVIE,1994,93,4,2,4.5,9321.0,12.603,5.5
MOVIE,1998,104,3,1,6.8,6549.0,6.276,6.5
SHOW,1991,18,3,1,6.510860655737705,23439.382473841553,7.73,7.8
MOVIE,1997,107,5,1,6.2,65323.0,12.863,6.1
SHOW,1998,25,8,1,8.0,5008.0,35.757,8.7
MOVIE,1997,96,4,1,5.2,68184.0,16.989,5.343
SHOW,1993,22,7,1,6.2,3902.0,13.313,6.3
MOVIE,1998,94,3,4,7.0,21599.0,8.381,6.8
SHOW,2000,21,2,1,7.2,4528.0,12.163,7.7
MOVIE,1994,107,5,1,4.5,30422.0,20.185,5.318
MOVIE,1993,115,3,1,6.5,11709.0,8.136,6.3
MOVIE,1997,93,4,2,4.8,34396.0,14.599,5.1
MOVIE,1995,105,2,1,6.8,5047.0,3.308,6.8
MOVIE,1998,104,2,1,5.9,6676.0,9.25,6.3
SHOW,1999,19,1,1,6.8,2377.0,5.745,8.1
SHOW,1994,22,3,1,6.2,12657.0,21.489,7.5
SHOW,1996,21,3,1,5.8,3747.0,10.901,7.0
SHOW,1994,45,3,1,7.8,3139.0,7.222,7.3
SHOW,1999,9,5,1,7.4,4281.0,40.189,7.5
MOVIE,1998,185,3,1,7.6,52036.0,12.35,7.7
MOVIE,1994,63,1,1,6.3,612.0,0.685,6.4
MOVIE,1991,91,2,1,4.5,3207.0,7.945,5.1
SHOW,2000,40,2,1,9.0,2399.0,8.565,8.8
MOVIE,1994,206,3,1,7.5,21123.0,6.314,6.5
MOVIE,1998,163,2,1,7.5,28586.0,7.811,6.8
MOVIE,1998,75,2,1,7.9,5879.0,5.822,7.6
SHOW,1998,25,1,1,7.4,1727.0,7.905,7.6
MOVIE,1993,124,2,5,7.0,692.0,1.858,6.5
MOVIE,1999,123,3,1,7.8,6035.0,10.506,7.9
MOVIE,1993,124,3,2,6.7,1584.0,5.092,6.1
MOVIE,1998,87,4,1,7.9,4378.0,3.766,7.8
MOVIE,1991,72,3,1,6.6,276.0,0.656,6.0
MOVIE,1993,74,2,1,8.5,3098.0,3.784,8.1
MOVIE,1995,141,2,1,8.1,12629.0,4.99,7.2
SHOW,1991,44,1,1,6.510860655737705,23439.382473841553,7.352,7.6
MOVIE,1999,174,2,1,6.1,5451.0,2.595,6.7
MOVIE,1998,156,4,1,6.2,3063.0,3.623,5.7
MOVIE,1991,49,1,1,6.510860655737705,23439.382473841553,1.84,6.1
MOVIE,1996,56,2,1,6.8,116.0,1.536,5.8
MOVIE,1993,175,2,1,7.8,3523.0,3.328,7.3
MOVIE,1999,177,4,1,6.2,8552.0,7.865,6.0
MOVIE,1997,136,4,2,7.1,2857.0,3.287,6.7
MOVIE,1996,88,1,4,6.9,733.0,2.099,6.7
MOVIE,1995,165,4,1,7.6,3056.0,3.576,6.9
MOVIE,1998,175,3,1,6.4,3604.0,3.393,6.5
MOVIE,1998,58,2,2,7.8,1096.0,2.681,6.9
